Arquivo_Teste,TIPO_REAL,GRUPO
teste_01.wav,SHIFT,18_7
teste_02.wav,ORIGINAL,15_5
teste_03.wav,ORIGINAL,3_1
teste_04.wav,SHIFT,16_1
teste_05.wav,NOISE,10_8
teste_06.wav,SHIFT,16_1
teste_07.wav,NOISE,8_3
teste_08.wav,SHIFT,15_5
teste_09.wav,NOISE,16_5
teste_10.wav,ORIGINAL,15_2
teste_11.wav,ORIGINAL,16_1
teste_12.wav,NOISE,6_3
teste_13.wav,NOISE,18_2
teste_14.wav,SHIFT,10_2
teste_15.wav,ORIGINAL,8_9
teste_16.wav,SHIFT,19_10
teste_17.wav,ORIGINAL,18_7
teste_18.wav,SHIFT,8_3
teste_19.wav,NOISE,18_7
teste_20.wav,SHIFT,5_11
teste_21.wav,ORIGINAL,11_3
teste_22.wav,SHIFT,3_1
teste_23.wav,SHIFT,8_9
teste_24.wav,NOISE,16_1
teste_25.wav,NOISE,15_2
teste_26.wav,ORIGINAL,19_10
teste_27.wav,ORIGINAL,16_5
teste_28.wav,ORIGINAL,18_2
teste_29.wav,NOISE,8_9
teste_30.wav,NOISE,3_1
teste_31.wav,SHIFT,10_8
teste_32.wav,SHIFT,11_1
teste_33.wav,SHIFT,16_5
teste_34.wav,NOISE,5_11
teste_35.wav,ORIGINAL,10_8
teste_36.wav,ORIGINAL,15_2
teste_37.wav,ORIGINAL,6_3
teste_38.wav,ORIGINAL,18_3
teste_39.wav,SHIFT,11_3
teste_40.wav,SHIFT,15_2
teste_41.wav,ORIGINAL,10_2
teste_42.wav,SHIFT,6_3
teste_43.wav,NOISE,10_2
teste_44.wav,NOISE,16_1
teste_45.wav,NOISE,15_2
teste_46.wav,NOISE,5_3
teste_47.wav,NOISE,11_3
teste_48.wav,NOISE,15_5
teste_49.wav,SHIFT,5_3
teste_50.wav,ORIGINAL,16_1
teste_51.wav,SHIFT,18_2
teste_52.wav,ORIGINAL,5_3
teste_53.wav,NOISE,18_3
teste_54.wav,ORIGINAL,8_3
teste_55.wav,ORIGINAL,5_11
teste_56.wav,NOISE,19_10
teste_57.wav,ORIGINAL,11_1
teste_58.wav,NOISE,11_1
teste_59.wav,SHIFT,18_3
teste_60.wav,SHIFT,15_2
