drill_id,mic_type,mic_id,position,sr,filepath_wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr3_ext.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr1_ext.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr5_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/ultrasonic_mics/190524_006.TAKE/18_common_Tr6_int.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr1_ext.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr2_ext.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr6_int.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_half_height_6_holes_no_jam/reg_mics/250210_006.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr6_int.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr5_int.wav
18,common,Tr1,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr1_ext.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr2_ext.wav
18,common,Tr3,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/ultrasonic_mics/190524_007.TAKE/18_common_Tr3_ext.wav
18,common,Tr5,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr5_int.wav
18,common,Tr4,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr4_int.wav
18,common,Tr6,int,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr6_int.wav
18,common,Tr3,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr3_ext.wav
18,common,Tr2,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr2_ext.wav
18,common,Tr1,ext,96000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/collet_test/column_1_1st_jam_2_holes/reg_mics/250210_007.TAKE/18_common_Tr1_ext.wav
18,common,Tr4,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/ultrasonic_mics/190524_004.TAKE/18_common_Tr4_int.wav
18,common,Tr5,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/ultrasonic_mics/190524_004.TAKE/18_common_Tr5_int.wav
18,common,Tr6,int,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/ultrasonic_mics/190524_004.TAKE/18_common_Tr6_int.wav
18,common,Tr2,ext,192000,data/standardized/drill_4mm_18_batch_01_collet_1_07-02-2025/column_2_7th_jam_2_holes/ultrasonic_mics/190524_004.TAKE/18_common_Tr2_ext.wav
