drill,hole,prob_xgb,label_real,threshold_xgb
drill_4mm_04_batch_00_collet_1_30-01-2025,1,0.0019267658,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,2,0.0013913977,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,3,0.0011888468,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,4,0.0009212273,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,5,0.0015131349,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,6,0.0013321394,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,7,0.0069255214,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,8,0.0039444794,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,9,0.0024317466,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,10,0.0029400617,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,11,0.0009192598,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,12,0.0009936284,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,13,0.003249826,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,14,0.0016487349,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,15,0.0009544029,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,16,0.0010240035,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,17,0.0012142158,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,18,0.0006607147,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,19,0.0012786533,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,20,0.0011306772,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,21,0.0027138742,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,22,0.000795678,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,23,0.0013026983,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,24,0.0016279985,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,25,0.0011070464,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,26,0.0013842217,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,27,0.00278213,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,28,0.0023168582,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,29,0.0015267232,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,30,0.07575212,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,31,0.007429526,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,32,0.0020659813,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,33,0.0020730165,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,34,0.0012219598,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,35,0.00070024515,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,36,0.0013533598,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,37,0.00078757893,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,38,0.0012149799,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,39,0.9189127,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,40,0.000912585,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,41,0.0008906038,0,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,42,0.0010932388,1,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,43,0.0008559794,1,0.1
drill_4mm_04_batch_00_collet_1_30-01-2025,44,0.0017813592,1,0.1
